Razão Social;Fundo;Código
CAPITÂNIA REIT FOF III FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII CPHH;CPHH;
CAPITÂNIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII CAPI SEC;CPTS;
CAPITÂNIA SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII CPSH;CPSH;
CARTESIA RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;CARTESIA FII;CACR;
CASTELLO BRANCO OFFICE PARK - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII CBOP PAX;CBOP;
CATUAÍ VBI TRIPLE A FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII BLCA VBI;BLCA;
CENESP FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII CENESP;CNES;
CENTRAL REAL ESTATE HIGH YIELD DEBT FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII CDHY;CDHY;
CENTRO TÊXTIL INTERNACIONAL FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII C TEXTIL;CTXT;
CENU - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII CENU;CENU;
CF2 FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII CF2;CFHI;
CF3  FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII CF3 IMOB;CFII;
CIDADE JARDIM CONTINENTAL TOWER FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII CJCTOWER;CJCT;
CIX MUIRAQUITAN FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII CIXM;CIXM;
CIX RETROFIT FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII CIXF;CIXF;
CLAVE ÍNDICES DE PREÇOS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII CLAVE IN;CLIN;
COSMIC FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII COSMIC;CSMC;
CPV ENERGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII RENV;RENV;
CRI INTEGRAL BREI FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII BREI;IBCR;
CVPAR FUNDO DE INVESTIMENTO IMOBILIÁRIO DE CRI RESPONSABILIDADE LIMITADA;FII CVPAR;CVPR;
CYRELA CRÉDITO - FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII CYRELA;CYCR;
CYRELA DESENVOLVIMENTO LOGÍSTICO FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII CYLD;CYLD;
DAMA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII DAMA;DAMA;
DAYCOVAL REAL ESTATE MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII DAYC REM;DAYM;
DAYCOVAL RETROFITS I FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII ASA RET;ASRF;
DEL MONTE AJAX FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII DE RESPONSABILIDADE LIMITADA;FII DEL MONT;DLMT;
DEVANT PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII DEVA PRO;DPRO;
DEVANT RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII DEVANT;DEVA;
DIAMANTE FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII DIAMANTE;DAMT;
DOVEL FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII DOVEL;DOVL;
EDGE FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII EDGE;EDGE;
EMET MULTIESTRATÉGIA FUNDO DE INVESTIMENTO I MOBILIÁRIO RESPONSABILIDADE LIMITADA;FII EMET;EMET;
ENERGY RESORT FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII ENERGY;EGYR;
EQI RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII EQI RECE;EQIR;
ESTOQUE RESIDENCIAL E COMERCIAL RIO DE JANEIRO FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESP LIMITADA;FII ESTOQ RJ;ERCR;
EUROPA 105  FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII EUROPA;ERPA;
EVEN II KINEA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII EVEN II;KEVE;
EXES FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII EXES;EXES;
FARIA LIMA CAPITAL RECEBÍVEIS IMOBILIÁRIOS I - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LI;FII FL RECEB;FLCR;
FATOR RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII FARU;FARU;
FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIARIO;FII FATOR VE;VRTA;
FATOR VERITÀ MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII VRTM;VRTM;
FIGTREE RENDA EDUCACIONAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII FTRE;FTRE;
FII ANCAR IC;FII ANCAR IC;ANCR;
FII CONTINENTAL SQUARE FARIA LIMA - RESPONSABILIDADE LIMITADA;FII S F LIMA;FLMA;
FII DE DESENVOLVIMENTO DE ESCRITÓRIOS BOUTIQUE RESPONSABILIDADE LIMITADA;FII EGDB;EGDB;
FII ELDORADO FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII ELDORADO;ELDO;
FII EUROPAR;FII EUROPAR;EURO;
FII HIRE PROPERTIES I - FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII HYPI;HYPI;
FII HIRE RESIDENCIAL I - FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII HIRE RES;HRES;
FII MEMORIAL OFFICE;FII MEMORIAL;FMOF;
FII PATRIMONIAL IV;FII PATRI IV;OPTM;
FII TORRE ALMIRANTE;FII TORRE AL;ALMI;
FLORIANO FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII FLNR;FLNR;
FOF JHSF INSTITUCIONAL - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII JCIN;JCIN;
FRAM CAPITAL HELMER MULTIATIVOS RENDA PREFERENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII HLMB;HLMB;
FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII RESPONSABILIDADE LIMITADA;FII KINEAFOF;KFOF;
FUNDO DE INVESTIMENTO  IMOBILIÁRIO - VBI CRI - RESPONSABILIDADE LIMITADA;FII CVBI VBI;CVBI;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - BLUE RECEBÍVEIS IMOBILIÁRIOS;FII BLUE REC;BLUR;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - DEVANT FUNDO DE FUNDOS IMOBILIÁRIOS DE RESPONSABILIDADE LIMITADA;FII DEVA FOF;DVFF;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII ANHANGUERA EDUCACIONAL RESPONSABILIDADE LIMITADA;FII ANH EDUC;FAED;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII BRASIL PLURAL ABSOLUTO FUNDO DE FUNDOS;FII ABSOLUTO;BPFF;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII CAMPUS FARIA LIMA RESPONSABILIDADE LIMITADA;FII CAMPUSFL;FCFL;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII CEO CYRELA COMMERCIAL PROPERTIES RESPONSABILIDADE LIMITADA;FII CEO CCP;CEOC;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII EDIFÍCIO ALMIRANTE BARROSO RESPONSABILIDADE LIMITADA;FII ALMIRANT;FAMB;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII EDIFÍCIO GALERIA RESPONSABILIADADE LIMITADA;FII GALERIA;EDGA;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII FYTO RECEBÍVEIS IMOBILIÁRIOS RESPONSABILIDADE LIMITADA;FII FYTO;FYTO;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII HOSPITAL DA CRIANÇA RESPONSABILIDADE LIMITADA;FII CRIANCA;HCRI;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII HOSPITAL NOSSA SENHORA DE LOURDES RESPONSABILIDADE LIMITADA;FII LOURDES;NSLU;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII MAX RETAIL RESPONSABILIDADE LIMITADA;FII MAX RET;MAXR;
FUNDO DE INVESTIMENTO IMOBILIARIO - FII NOVO HORIZONTE;FII NOVOHORI;NVHO;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII PARQUE DOM PEDRO SHOPPING CENTER RESPONSABILIDADE LIMITADA;FII D PEDRO;PQDP;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RBR DESENVOLVIMENTO III RESPONSABILIDADE LIMITADA;FII RBR III;RBRI;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RBR DESENVOLVIMENTO IV RESPONSABILIDADE LIMITADA;FII RBRDESIV;RDIV;
FUNDO DE INVESTIMENTO IMOBILIARIO - FII RBR RENDIMENTO HIGH GRADE RESPONSABILIDADE LIMITADA;FII RBRHGRAD;RBRR;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RECEBÍVEIS IMOBILIÁRIOS - RESPONSABILIDADE LIMITADA;FII REC RECE;RECR;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII REC RENDA IMOBILIÁRIA - RESPONSABILIDADE LIMITADA;FII REC REND;RECT;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII SHOPPING PARQUE D. PEDRO RESPONSABILIDADE LIMITADA;FII SHOP PDP;SHDP;
FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII TORRE NORTE;FII TORRE NO;TRNT;
FUNDO DE INVESTIMENTO IMOBILIÁRIO APEX REALTY - FII;FII APXR;APXR;
FUNDO DE INVESTIMENTO IMOBILIÁRIO BR HOTÉIS;FII BRHOTEIS;BRHT;
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA AGÊNCIAS - RESPONSABILIDADE LIMITADA;FII CAIXA AG;CXAG;
FUNDO DE INVESTIMENTO IMOBILIÁRIO CAIXA CARTEIRA IMOBILIÁRIA;FII CAIXA CI;CXCI;
FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA CEDAE;FII CX CEDAE;CXCE;
FUNDO DE INVESTIMENTO IMOBILIARIO CAIXA SEQ LOGISTICA RENDA;FII CX TRX;CXTL;
FUNDO DE INVESTIMENTO IMOBILIÁRIO DE UNIDADES AUTÔNOMAS IV;FII IDUA;IDUA;
FUNDO DE INVESTIMENTO IMOBILIÁRIO DEVELOPMENT V1 RESPONSABILIDADE LIMITADA;FII DEV ONE;LKDV;
FUNDO DE INVESTIMENTO IMOBILIÁRIO EDIFÍCIO OURINVEST - RESPONSABILIDADE LIMITADA;FII OURINVES;EDFO;
FUNDO DE INVESTIMENTO IMOBILIÁRIO GREEN TOWERS RESPONSABILIDADE LIMITADA;FII G TOWERS;GTWR;
FUNDO DE INVESTIMENTO IMOBILIÁRIO HBC RENDA URBANA;FII HBC REN;HBCR;
FUNDO DE INVESTIMENTO IMOBILIÁRIO HOSPITAL UNIMED CAMPINA GRANDE;FII UNIMED C;HUCG;
FUNDO DE INVESTIMENTO IMOBILIARIO HOSPITAL UNIMED SUL CAPIXABA;FII H UNIMED;HUSC;
FUNDO DE INVESTIMENTO IMOBILIÁRIO HOUSI RESPONSABILIDADE LIMITADA;FII HOUSI;HOSI;
FUNDO DE INVESTIMENTO IMOBILIARIO INDUSTRIAL DO BRASIL;FII INDL BR;FIIB;
FUNDO DE INVESTIMENTO IMOBILIÁRIO INFRA REAL ESTATE - FII RESPONSABILIDADE LIMITADA;FII INFRA RE;FINF;
FUNDO DE INVESTIMENTO IMOBILIÁRIO IRIDIUM RECEBÍVEIS IMOBILIÁRIOS RESPONSABILIDADE LIMITADA;FII IRIDIUM;IRDM;
FUNDO DE INVESTIMENTO IMOBILIÁRIO MACAM SHOPPING RESPONSABILIDADE LIMITADA;FII BLUE;BLUE;
FUNDO DE INVESTIMENTO IMOBILIÁRIO MAUÁ CAPITAL MPD DESENVOLVIMENTO RESIDENCIAL RESP LIMITADA;FII MAUA MPD;MMPD;
FUNDO DE INVESTIMENTO IMOBILIÁRIO MAUÁ CAPITAL RECEBÍVEIS IMOBILIÁRIOS - FII RESPONSABILIDADE LIMITA;FII MAUA;MCCI;
FUNDO DE INVESTIMENTO IMOBILIÁRIO OURINVEST LOGÍSTICA - RESPONSABILIDADE LIMITADA;FII OURILOG;OULG;
FUNDO DE INVESTIMENTO IMOBILIÁRIO OURINVEST RE I - RESPONSABILIDADE LIMITADA;FII WTC SP;WTSP;
FUNDO DE INVESTIMENTO IMOBILIÁRIO PANAMBY;FII PANAMBY;PABY;
FUNDO DE INVESTIMENTO IMOBILIÁRIO PATRIMONIAL V RESPONSABILIDADE LIMITADA;FII VOTP V;VTPA;
FUNDO DE INVESTIMENTO IMOBILIÁRIO PEDRA NEGRA RENDA IMOBILIÁRIA - RESPONSABILIDADE LIMITADA;FII P NEGRA;FPNG;
FUNDO DE INVESTIMENTO IMOBILIÁRIO PLUS RESPONSABILIDADE LIMITADA;FII PLUS;VTPL;
FUNDO DE INVESTIMENTO IMOBILIARIO POLO ESTOQUE II RESPONSABILIDADE LIMITADA;FII POLO II;ESTQ;
FUNDO DE INVESTIMENTO IMOBILIÁRIO POLO SHOPPING INDAIATUBA - RESPONSABILIDADE LIMITADA;FII POLO SHO;VPSI;
FUNDO DE INVESTIMENTO IMOBILIÁRIO RBR CRÉDITO IMOBILIÁRIO ESTRUTURADO RESPONSABILIDADE LIMITADA;FII RBR PCRI;RBRY;
FUNDO DE INVESTIMENTO IMOBILIÁRIO RBR CRÉDITO PULVERIZADO RESPONSABILIDADE LIMITADA;FII PULV;PULV;
FUNDO DE INVESTIMENTO IMOBILIÁRIO RBR PROPERTIES - FII RESPONSABILIDADE LIMITADA;FII RBR PROP;RBRP;
FUNDO DE INVESTIMENTO IMOBILIÁRIO REC LOGÍSTICA - RESPONSABILIDADE  LIMITADA;FII REC LOG;RELG;
FUNDO DE INVESTIMENTO IMOBILIÁRIO RIZA TERRAX;FII RIZA TX;RZTR;
FUNDO DE INVESTIMENTO IMOBILIÁRIO ROOFTOP I RESPONSABILIDADE LIMITADA;FII ROOFTOPI;ROOF;
FUNDO DE INVESTIMENTO IMOBILIÁRIO ROOFTOP III RESPONSABILIDADE LIMITADA;FII HOMS;HOMS;
FUNDO DE INVESTIMENTO IMOBILIÁRIO SC 401 - RESPONSABILIDADE LIMITADA;FII SC 401;FISC;
FUNDO DE INVESTIMENTO IMOBILIARIO SIA CORPORATE RESPONSABILIDADE LIMITADA;FII SIA CORP;SAIC;
FUNDO DE INVESTIMENTO IMOBILIÁRIO SMART REAL ESTATE - FII RESPONSABILIDADE LIMITADA;FII SMRE;SMRE;
FUNDO DE INVESTIMENTO IMOBILIÁRIO SOFIA;FII SOFF;SOFF;
FUNDO DE INVESTIMENTO IMOBILIÁRIO SUCCESPAR VAREJO RESPONSABILIDADE LIMITADA;FII S VAREJO;SPVJ;
FUNDO DE INVESTIMENTO IMOBILIÁRIO TG ATIVO REAL;FII TG ATIVO;TGAR;
FUNDO DE INVESTIMENTO IMOBILIÁRIO TG RENDA URBANA - RESPONSABILIDADE LIMITADA;FII TGRU;TGRU;
FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI LOGÍSTICO - RESPONSABILIDADE LIMITADA;FII LVBI VBI;LVBI;
FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI PRIME PROPERTIES - RESPONSABILIDADE LIMITADA;FII PVBI VBI;PVBI;
FUNDO DE INVESTIMENTO IMOBILIÁRIO VBI RENDIMENTOS IMOBILIÁRIOS I - RESPONSABILIDADE LIMITADA;FII BARI VBI;BARI;
FUNDO DE INVESTIMENTO IMOBILIÁRIO VEREDA - FII RESPONSABILIDADE LIMITADA;FII VEREDA;VERE;
